layer_id,layer_name,description,source_path,source_type,source_layer_name,zone,sub_zone,variable_type,processing_method,invert_bio,invert_refs,invert_agri,jenks_classes,manual_values,percentile_lower,percentile_upper,nodata_treatment,component_weight_bio,component_weight_refs,component_weight_agri,national,eastern_cape,free_state,gauteng,kwazulu_natal,limpopo,mpumalanga,north_west,northern_cape,western_cape,notes,data_source,year,status
RSA_Nat_Forests,Natural Forest,Natural Forest Extent,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_Nat_Forests,File Geodatabase Raster,RSA_Nat_Forests,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Manually created for Environemntal Screening Tool,SANLC_2022 (DFFE),NA,confirmed
RSA_SWSA,Strategic Water Source Areas,Strategic Water Source Areas,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_SWSA,File Geodatabase Raster,RSA_SWSA,bio,NA,binary,binary,TRUE,NA,NA,NA,NA,NA,NA,make 0,1,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,confirmed
RSA_SpR_VERYHIGH,Threatened Species Richness - Very High Sensitivity,Threatened Species - Very High Sensitivity,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_SpR_VERYHIGH,File Geodatabase Raster,RSA_SpR_VERYHIGH,all,NA,continuous,jenks,TRUE,FALSE,FALSE,5,NA,NA,NA,make 0,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Environmental Screening Tool (DFFE),NA,confirmed
RSA_SpR_HIGH,Threatened Species Richness - High Sensitivity,Threatened Species Richness - High Sensitivity,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_SpR_HIGH,File Geodatabase Raster,RSA_SpR_HIGH,all,NA,continuous,jenks,TRUE,FALSE,FALSE,10,NA,NA,NA,make 0,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Environmental Screening Tool (DFFE),NA,confirmed
RSA_PA_CBA_ESA_int,Critical Biodiversity Areas,Critical Biodiversity & Ecological Support Areas,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_PA_CBA_ESA,File Geodatabase Raster,RSA_PA_CBA_ESA,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,1=90; 2=90; 3=80; 4=50; 5=60; 6=60; 7=60; 8=90; 9=60; 10=60; 11=50; 12=90; 13=80; 14=50; 15=80; 16=50; 17=50; 18=60; 19=50; 9999=100,NA,NA,make 0,3,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,SANBI,NA,confirmed
Distance_to_mine,Distance to Mine,Distance to Nearest Active Mine,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Distance_to_mine,File Geodatabase Raster,Distance_to_mine,bio,NA,continuous,jenks,TRUE,NA,NA,20,NA,NA,NA,leave as is,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
RSA_Current_Mining,Current Mining Activity,Current Above-Ground Mining Activity,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\RSA_Current_Mining,File Geodatabase Raster,RSA_Current_Mining,all,NA,categorical,manual,FALSE,FALSE,FALSE,NA,0=0; 1=100; 2=100; 3=100; 4=100; 5=100; 6=100; 7=100; 8=100,NA,NA,make 0,2,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
Substation_Capacity,Sub-Station Area Grid Capacity,Capacity of Substation for additional grid connection,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Substation_Capacity,File Geodatabase Raster,Substation_Capacity,refs,NA,continuous,jenks,NA,TRUE,NA,10,NA,NA,NA,leave as is,NA,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
Local_Area_Capacity,Local Area Grid Capacity,Capacity of local area for additional grid connection,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Local_Area_Capacity,File Geodatabase Raster,Local_Area_Capacity,refs,NA,continuous,jenks,NA,TRUE,NA,10,NA,NA,NA,leave as is,NA,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
Supply_Area_Capacity,Supply Area Grid Capacity,Capacity of supply area for additional grid connection,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Supply_Area_Capacity,File Geodatabase Raster,Supply_Area_Capacity,refs,NA,continuous,jenks,NA,TRUE,NA,5,NA,NA,NA,leave as is,NA,1,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,tbc (ESKOM),NA,confirmed
