layer_id,layer_name,bio_weight,refs_weight,agri_weight,include_bio,include_refs,include_agri,notes
RSA_Nat_Forests,Natural Forest,1,1,1,TRUE,TRUE,TRUE,
RSA_SWSA,Strategic Water Source Areas,1,NA,NA,TRUE,FALSE,FALSE,
RSA_SpR_VERYHIGH,Threatened Species Richness - Very High Sensitivity,1,1,1,TRUE,TRUE,TRUE,
RSA_SpR_HIGH,Threatened Species Richness - High Sensitivity,2,2,2,TRUE,TRUE,TRUE,
Distance_to_mine,Distance to Mine,1,NA,NA,TRUE,FALSE,FALSE,
RSA_Current_Mining,Current Mining Activity,2,1,1,TRUE,TRUE,TRUE,
Substation_Capacity,Sub-Station Area Grid Capacity,NA,1,NA,FALSE,TRUE,FALSE,
Local_Area_Capacity,Local Area Grid Capacity,NA,1,NA,FALSE,TRUE,FALSE,
RSA_ELSA_Raster,Ecological Life Support Action Areas,1.5,1,1.5,TRUE,TRUE,TRUE,
RSA_KBA_Raster_ProjectRaster,Key Biodiversity Areas,1,1,1,TRUE,TRUE,TRUE,
RSA_MLL_raster_final,Mega Living Landscapes,1,1,NA,TRUE,TRUE,FALSE,
RSA_NoGo_Raster,Threatened Species No-Go Areas,2,2,2,TRUE,TRUE,TRUE,
RSA_NPAES_Raster,National Protected Area Expansion Strategy,3,2,2,TRUE,TRUE,TRUE,
RSA_PAA_Raster_ProjectRaster,Protected Agricultural Area,1,NA,4,TRUE,FALSE,TRUE,
RSA_RemVeg_Raster,Remaining Natural Vegetation,2,1,3,TRUE,TRUE,TRUE,
RSA_Slope_30m,Slope,NA,1,1,FALSE,TRUE,TRUE,
Reclass_AGRI1,Total Available Carbon,1,NA,1,TRUE,FALSE,TRUE,
D2SS,Distance to Sub-Station,NA,1,NA,FALSE,TRUE,FALSE,
RSA_Dist2PS,Distance to Power Station,NA,1,NA,FALSE,TRUE,FALSE,
RSA_HumSet_Raster,Human Settlement Density,3,2,1,TRUE,TRUE,TRUE,
RSA_REDZ_Raster,Renewable Energy Development Zones,NA,2,NA,FALSE,TRUE,FALSE,
RSA_DisttTL,Distance to Transmission Line,NA,2,NA,FALSE,TRUE,FALSE,
Reclass_RSA_1,Threatened Species Richness,1,1,1,TRUE,TRUE,TRUE,
WindSpeed_100magl,Wind Speed,NA,2,NA,FALSE,TRUE,FALSE,
RSA_PVOUT_Resample,Photovoltaic Potential,NA,2,NA,FALSE,TRUE,FALSE,
SSA_BII,Biodiversity Intactness Index,1,1,1,TRUE,TRUE,TRUE,
NC_Conophytum_SR,Conophytum Species Richness (NC),1,NA,1,TRUE,FALSE,TRUE,
NC_Succulent_SR,Succulent Species Richness (NC),1,NA,1,TRUE,FALSE,TRUE,
NC_SK_Expert,Succulent Karoo Priority Area (NC),1,1,1,TRUE,TRUE,TRUE,
NC_BSP_Raster,Critical Biodiversity Areas (NC),3,2,3,TRUE,TRUE,TRUE,
NC_SKEP_Scal,Succulent Karoo Priority Region  (NC),1,1,1,TRUE,TRUE,TRUE,
